system\code,FDDA1-01,FDDA1-02,FDDA1-03,FDDA1-04,FDDA1-05
AHU-2-01,1,1,0,1,0
AHU-2M-01,0,0,1,0,0
AHU-2M-02,1,1,0,0,0
AHU-2M-03,1,1,0,0,0
AHU-2M-04,0,1,1,1,0
AHU-2M-05,0,1,1,1,0
AHU-2M-06,1,1,0,0,0
AHU-2M-07,1,1,0,0,0
AHU-2M-08,1,1,0,0,1
AHU-3-01,1,1,0,0,0
AHU-3-02,1,1,0,0,0
AHU-3-03,0,1,1,1,1
AHU-5-01,1,1,0,0,0
AHU-5-02,1,1,0,0,0
AHU-7-01,1,1,0,0,0
AHU-7-02,1,1,0,0,0
AHU-7-03,0,1,1,1,1
AHU-7-04,0,1,1,1,1
AHU-7-05,1,1,0,0,0
AHU-7-06,1,1,0,0,0
AHU-8-01,1,1,0,0,0
AHU-8-02,1,1,0,0,0
AHU-8-03,1,1,0,0,0
AHU-9-01,1,1,0,0,0
AHU-9-02,1,1,0,1,0
PAU-2M-01,1,1,0,0,0
PAU-2M-02,1,1,0,0,0
