system\code,FDDA3-01,FDDA3-02,FDDA3-03,FDDA3-04,FDDA3-05,FDDA3-06,FDDA3-07,FDDA3-08,FDDA3-09,FDDA3-10,FDDA3-11,FDDA3-12,FDDA3-13,FDDA3-14,FDDA3-15,FDDA3-16,FDDA3-17
AHU-2-01,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
AHU-2M-01,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
AHU-2M-02,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
AHU-2M-03,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
AHU-2M-04,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
AHU-2M-05,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
AHU-2M-06,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
AHU-2M-07,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
AHU-2M-08,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0
AHU-3-01,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
AHU-3-02,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
AHU-3-03,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1
AHU-5-01,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
AHU-5-02,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
AHU-7-01,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1
AHU-7-02,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0
AHU-7-03,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1
AHU-7-04,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1
AHU-7-05,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1
AHU-7-06,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0
AHU-8-01,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0
AHU-8-02,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0
AHU-8-03,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0
AHU-9-01,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0
AHU-9-02,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1
PAU-2M-01,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
PAU-2M-02,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0
PAU-3-01,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0

